ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
770	TREX complex	Human	None	HeLa cells	Q13769;Q13838;Q6I9Y2;Q86V81;Q86W42;Q8NI27;Q96FV9;Q96J01	8563;7919;80145;10189;79228;57187;9984;84321	MI:0007-anti tag coimmunoprecipitation	GO:0016363;GO:0016607;GO:0006405	nuclear matrix;nuclear speck;RNA export from nucleus	70.10.06;70.10.09	nuclear matrix;nuclear speckles	15998806	The TREX complex is recruited by the CBC complex to the 5-prime end of spliced RNAs and is involved in RNA export from the nucleus into the cytoplasm. The TREX complex contains the THO transcription elongation complex.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	THO complex subunit 5 homolog;Spliceosome RNA helicase DDX39B;THO complex subunit 7 homolog;THO complex subunit 4;THO complex subunit 6 homolog;THO complex subunit 2;THO complex subunit 1;THO complex subunit 3	THOC5;DDX39B;THOC7;ALYREF;THOC6;THOC2;THOC1;THOC3	C22orf19, KIAA0983;BAT1 UAP56;NIF3L1BP1;ALY BEF THOC4;WDR58;CXorf3;HPR1;None
1045	RAN-SNUPN-XPO1 complex	Human	Snurportin-CRM1-RanGTP complex	HeLa cells	O14980;O95149;P62826	7514;10073;5901	MI:0096-pull down	GO:0005737;GO:0005634;GO:0006611	cytoplasm;nucleus;protein export from nucleus	70.03;70.10	cytoplasm;nucleus	10209022	The complex is exported from the nucleus to the cytoplasm where  RanGTP is removed from CRM1 through the action of RanBP1 and RanGAP.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Exportin-1;Snurportin-1;GTP-binding nuclear protein Ran	XPO1;SNUPN;RAN	CRM1;RNUT1 SPN1;ARA24
1176	NCBP1-NCBP2-PHAX-RAN-XPO1 complex	Human	CRM1-RAN-PHAX-CBC complex (cap binding complex)	None	O14980;P52298;P62826;Q09161;Q9H814	7514;22916;5901;4686;51808	MI:0413-electrophoretic mobility shift assay;MI:0430-nucleic acid uv cross-linking assay	GO:0005737;GO:0005634;GO:0051168;GO:0050658	cytoplasm;nucleus;nuclear export;RNA transport	70.03;70.10;20.01.21	cytoplasm;nucleus;RNA transport	10786834	In metazoa, assembly of spliceosomal U snRNPs requires nuclear export of U snRNA precursors. Export depends upon the RNA cap structure, nuclear cap-binding complex (CBC), the export receptor CRM1/Xpo1, and RanGTP. PHAX (phosphorylated adaptor for RNA export) is an additional factor required for U snRNA export complex assembly in vitro. PHAX binding to CBC is greatly increased by the presence of capped RNA. Phosphorylated PHAX can bind to RanGTP/Xpo1 but does so more strongly in the presence of CBC and even more in the presence of both CBC and RNA. Thus, every step in U snRNA export complex formation involves some degree of cooperativity.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Exportin-1;Nuclear cap-binding protein subunit 2;GTP-binding nuclear protein Ran;Nuclear cap-binding protein subunit 1;Phosphorylated adapter RNA export protein	XPO1;NCBP2;RAN;NCBP1;PHAX	CRM1;CBP20;ARA24;CBP80 NCBP;RNUXA
1552	TNPO2-RAN-NXF1 complex	Human	None	HeLa cells	O14787;P62826;Q9UBU9	30000;5901;10482	MI:0019-coimmunoprecipitation	GO:0003723;GO:0005737;GO:0005634;GO:0006405	RNA binding;cytoplasm;nucleus;RNA export from nucleus	16.03.03;70.03;70.10	RNA binding;cytoplasm;nucleus	12384575	TNPO2 (Karyopherin beta-2b) participates directly in the export of a large proportion of cellular mRNAs, and TAP connects TNPO2 to the mRNAs to be exported (PMID:12384575).	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Transportin-2;GTP-binding nuclear protein Ran;Nuclear RNA export factor 1	TNPO2;RAN;NXF1	None;ARA24;TAP
1554	KPNB1-RAN-RANBP1complex	Human	None	Ehrlich ascetics tumor cells	P43487;P62826;Q14974	5902;5901;3837	MI:0007-anti tag coimmunoprecipitation	GO:0015031;GO:0051169;GO:0005737;GO:0140318	protein transport;nuclear transport;cytoplasm;protein transporter activity	20.01.10;20.09.01;70.03	protein transport;nuclear transport;cytoplasm	10037787	This complex is exported as a complex from the nucleus to the cytoplasm in living cells.The binding of RanBP1 to the Ran-importin beta complex is required for the dissociation of the complex in the cytoplasm and that the released Ran is recycled to the nucleus, which is essential for the nuclear protein transport (PMID:10037787).	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Ran-specific GTPase-activating protein;GTP-binding nuclear protein Ran;Importin subunit beta-1	RANBP1;RAN;KPNB1	None;ARA24;NTF97
3080	ILF3-XPO5 complex	Human	None	HEK293FT cells	Q12906;Q9HAV4	3609;57510	MI:0019-coimmunoprecipitation	GO:0005634;GO:0006405;GO:0005737	nucleus;RNA export from nucleus;cytoplasm	70.10;70.03	nucleus;cytoplasm	17765891	Exportin5 (XPO5) is known to bind the hairpin structure of pre-miRNA and exports the processed pre-miRNA to the cytoplasm via nuclear pore.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Interleukin enhancer-binding factor 3;Exportin-5	ILF3;XPO5	DRBF MPHOSPH4 NF90;KIAA1291 RANBP21
6141	CSE1L-KPNA2-RAN complex	Human	Importin alpha-CAS-RanGTP complex	HeLa mRNA expressed in E.coli	P52292;P55060;P62826	3838;1434;5901	MI:0051-fluorescence technology;MI:0413-electrophoretic mobility shift assay	GO:0006913;GO:0005634;GO:0015031;GO:0005737;GO:0006611;GO:0055085	nucleocytoplasmic transport;nucleus;protein transport;cytoplasm;protein export from nucleus;transmembrane transport	70.10;20.01.10;70.03	nucleus;protein transport;cytoplasm	9323134	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-1;Exportin-2;GTP-binding nuclear protein Ran	KPNA2;CSE1L;RAN	RCH1, SRP1;CAS XPO2;ARA24
6142	KPNA2-KPNB1 complex	Human	Importin alpha/beta complex	HeLa mRNA expressed in E.coli	P52292;Q14974	3838;3837	MI:0051-fluorescence technology;MI:0413-electrophoretic mobility shift assay	GO:0005634;GO:0005737;GO:0006606	nucleus;cytoplasm;protein import into nucleus	70.10;70.03	nucleus;cytoplasm	9323134	NLS proteins are transported into the nucleus by the importin alpha/beta heterodimer. Importin alpha binds the NLS, while importin beta mediates translocation through the nuclear pore complex. It was shown that without further addition or with addition of wild-type RanGDP, importin beta bound efficiently to importin alpha.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-1;Importin subunit beta-1	KPNA2;KPNB1	RCH1, SRP1;NTF97
6143	KPNB1-RAN complex	Human	Importin beta-RanGTP complex	HeLa mRNA expressed in E.coli	P62826;Q14974	5901;3837	MI:0051-fluorescence technology;MI:0413-electrophoretic mobility shift assay	GO:0006913;GO:0006611;GO:0005634;GO:0005737;GO:0055085	nucleocytoplasmic transport;protein export from nucleus;nucleus;cytoplasm;transmembrane transport	70.10;70.03	nucleus;cytoplasm	9323134	NLS proteins are transported into the nucleus by the importin alpha/beta heterodimer. Importin alpha binds the NLS, while importin beta mediates translocation through the nuclear pore complex. After translocation, RanGTP, whose predicted concentration is high in the nucleus and low in the cytoplasm, binds importin beta disassembling the importin alpha/beta heterodimer.	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Importin subunit beta-1	RAN;KPNB1	ARA24;NTF97
6160	hTREX84 complex	Human	None	HeLa cells	Q13769;Q6I9Y2;Q86W42-2;Q8NI27;Q96FV9;Q96J01	8563;80145;79228;57187;9984;84321	MI:0004-affinity chromatography technology	GO:0006406	mRNA export from nucleus	None	None	15833825	None	hTREX84 is highly expressed in aggressive forms of breast cancer.	hTREX40 resembles isoform 2 of THOC6 which lacks the N-terminal 24 amino acids of the canonical sequence.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	THO complex subunit 5 homolog;THO complex subunit 7 homolog;Isoform 2 of THO complex subunit 6 homolog;THO complex subunit 2;THO complex subunit 1;THO complex subunit 3	THOC5;THOC7;THOC6;THOC2;THOC1;THOC3	C22orf19, KIAA0983;NIF3L1BP1;WDR58;CXorf3;HPR1;None
